Time,Name,email,facebook,junior,gender,bedtime,wake_time,sleep_env,visitors,neatness,floor_cov,sharing,bio,room_time,room_activity
13:31,Grady,Grady@gmail.com,Grady,1,male,7:41,2,2,1,3,36,1,,,
17:45,Barrie,Barrie@gmail.com,Barrie,1,female,19:11,1,2,2,3,20,2,,,
1:15,Lashaun,Lashaun@gmail.com,Lashaun,1,female,15:35,3,3,3,2,17,2,,,
21:59,Portia,Portia@gmail.com,Portia,0,female,23:55,3,3,1,2,4,1,,,
19:55,Diann,Diann@gmail.com,Diann,1,female,4:43,1,4,2,2,26,2,,,
19:25,Cheryle,Cheryle@gmail.com,Cheryle,1,female,18:25,1,3,2,2,0,2,,,
15:58,Nyla,Nyla@gmail.com,Nyla,0,female,3:49,3,2,3,2,71,1,,,
5:18,Mafalda,Mafalda@gmail.com,Mafalda,0,female,10:36,2,3,2,3,94,2,,,
16:16,Francene,Francene@gmail.com,Francene,0,female,20:15,3,1,1,3,49,2,,,
3:40,Roslyn,Roslyn@gmail.com,Roslyn,0,female,23:49,3,3,1,1,98,2,,,
7:46,Jeri,Jeri@gmail.com,Jeri,1,female,13:23,2,4,3,1,26,2,,,
22:24,Latrina,Latrina@gmail.com,Latrina,1,female,24:23,1,4,1,1,72,1,,,
2:6,Ula,Ula@gmail.com,Ula,1,female,9:42,3,1,1,3,94,1,,,
18:28,Yulanda,Yulanda@gmail.com,Yulanda,0,female,1:29,1,3,2,1,48,2,,,
6:48,Filomena,Filomena@gmail.com,Filomena,0,female,4:12,1,4,2,1,81,2,,,
5:22,Suanne,Suanne@gmail.com,Suanne,1,female,17:11,2,2,2,2,34,2,,,
15:40,Desirae,Desirae@gmail.com,Desirae,0,female,4:36,1,4,2,1,56,2,,,
15:44,Zofia,Zofia@gmail.com,Zofia,0,female,8:50,1,1,2,3,29,2,,,
7:39,Mignon,Mignon@gmail.com,Mignon,1,female,11:40,2,1,1,1,78,2,,,
11:14,Peggie,Peggie@gmail.com,Peggie,1,female,9:38,1,1,2,2,14,2,,,
20:48,Jenette,Jenette@gmail.com,Jenette,1,female,18:27,2,1,3,3,32,1,,,
14:25,Ina,Ina@gmail.com,Ina,1,female,11:28,1,3,1,1,58,2,,,
11:36,Lorena,Lorena@gmail.com,Lorena,1,female,15:38,3,1,3,3,19,2,,,
20:49,Gudrun,Gudrun@gmail.com,Gudrun,0,female,1:4,3,1,3,2,93,2,,,
8:7,Tana,Tana@gmail.com,Tana,0,female,22:43,1,1,2,2,34,1,,,
8:47,Christi,Christi@gmail.com,Christi,0,female,20:15,3,4,3,1,13,1,,,
1:20,Esperanza,Esperanza@gmail.com,Esperanza,0,female,23:28,2,1,2,3,93,2,,,
12:46,Lida,Lida@gmail.com,Lida,0,female,17:42,3,3,1,3,38,2,,,
4:35,Edra,Edra@gmail.com,Edra,0,female,21:4,2,1,3,3,42,2,,,
18:14,Syble,Syble@gmail.com,Syble,1,female,13:38,3,3,1,2,94,1,,,
8:56,Jeanette,Jeanette@gmail.com,Jeanette,0,female,9:34,1,4,1,1,33,1,,,
17:33,Grayce,Grayce@gmail.com,Grayce,0,female,9:7,3,2,1,2,71,1,,,
10:29,Rosenda,Rosenda@gmail.com,Rosenda,0,female,24:0,2,2,3,1,67,2,,,
23:9,Dorla,Dorla@gmail.com,Dorla,1,female,13:16,2,3,1,2,91,2,,,
9:14,Norene,Norene@gmail.com,Norene,1,female,20:55,1,3,2,2,2,2,,,
9:43,Aurea,Aurea@gmail.com,Aurea,1,female,6:59,3,3,1,1,51,2,,,
15:56,Cherri,Cherri@gmail.com,Cherri,0,female,12:29,3,1,3,2,48,1,,,
1:53,Deidra,Deidra@gmail.com,Deidra,1,female,23:46,3,2,2,2,85,2,,,
4:9,Miss,Miss@gmail.com,Miss,0,female,14:1,1,4,3,1,100,2,,,
3:59,Ilana,Ilana@gmail.com,Ilana,0,female,8:57,3,2,2,2,91,2,,,
9:30,Dannette,Dannette@gmail.com,Dannette,1,female,14:5,3,2,3,1,73,1,,,
4:40,Asley,Asley@gmail.com,Asley,0,female,19:56,1,1,1,3,80,2,,,
6:27,Merissa,Merissa@gmail.com,Merissa,1,female,4:3,2,1,3,2,85,2,,,
20:43,Teri,Teri@gmail.com,Teri,0,female,24:58,2,3,3,2,95,1,,,
10:53,Miesha,Miesha@gmail.com,Miesha,1,female,18:12,2,1,2,3,20,2,,,
21:5,Santina,Santina@gmail.com,Santina,0,female,15:58,2,1,3,1,47,1,,,
18:57,Tiffaney,Tiffaney@gmail.com,Tiffaney,1,female,20:16,1,2,2,1,49,1,,,
4:51,Sonia,Sonia@gmail.com,Sonia,1,female,4:40,3,1,1,1,22,1,,,
8:29,Tina,Tina@gmail.com,Tina,0,female,6:36,1,2,3,3,33,2,,,
21:25,Twila,Twila@gmail.com,Twila,0,female,24:5,3,1,2,1,4,2,,,
1:17,Golden,Golden@gmail.com,Golden,1,female,9:38,2,3,1,2,85,1,,,
